198.50.155.88:8080       # HTTP (Canada)
103.82.22.5:20006        # SOCKS5 (Vietnam)
185.93.89.168:9099       # SOCKS5 (UK)
142.54.226.214:4145      # SOCKS5 (USA)
47.237.172.201:33333     # SOCKS5 (Singapore)
47.250.51.110:4145       # SOCKS4 (USA)
8.213.129.20:4001        # SOCKS5 (Korea)
185.93.89.180:4145       # SOCKS5 (UK)
103.169.189.98:8080      # HTTP (India)
138.201.125.229:3128     # HTTP (Germany)
51.158.68.68:8811        # HTTP (France)
165.22.254.197:8080      # HTTP (Singapore)
188.166.186.35:8080      # HTTP (Netherlands)
89.208.105.99:45554      # SOCKS5 (Russia)
192.252.208.67:14287     # SOCKS5 (USA)
167.172.79.231:1080      # SOCKS5 (USA)
68.183.20.132:8080       # HTTP (USA)
134.209.29.120:3128      # HTTP (Germany)
103.111.219.154:4145     # SOCKS5 (India)
103.216.82.198:6667      # SOCKS5 (Indonesia)
